Postcode,SOS_Code,SOS_Name,SOS_Category,Urban_Rural
0800,70,Major Urban,0.0,Urban
0810,70,Major Urban,0.0,Urban
0812,73,Rural Balance,3.0,Rural
0820,70,Major Urban,0.0,Urban
0822,73,Rural Balance,3.0,Rural
0828,70,Major Urban,0.0,Urban
0829,70,Major Urban,0.0,Urban
0830,73,Rural Balance,3.0,Rural
0832,70,Major Urban,0.0,Urban
0834,73,Rural Balance,3.0,Rural
0835,73,Rural Balance,3.0,Rural
0836,73,Rural Balance,3.0,Rural
0837,73,Rural Balance,3.0,Rural
0838,73,Rural Balance,3.0,Rural
0839,70,Major Urban,0.0,Urban
0840,73,Rural Balance,3.0,Rural
0841,73,Rural Balance,3.0,Rural
0845,73,Rural Balance,3.0,Rural
0846,73,Rural Balance,3.0,Rural
0847,72,Bounded Locality,2.0,Rural
0850,71,Other Urban,1.0,Urban
0852,73,Rural Balance,3.0,Rural
0853,73,Rural Balance,3.0,Rural
0854,72,Bounded Locality,2.0,Rural
0860,71,Other Urban,1.0,Urban
0862,73,Rural Balance,3.0,Rural
0870,73,Rural Balance,3.0,Rural
0872,73,Rural Balance,3.0,Rural
0873,73,Rural Balance,3.0,Rural
0874,73,Rural Balance,3.0,Rural
0875,71,Other Urban,1.0,Urban
0880,73,Rural Balance,3.0,Rural
0885,72,Bounded Locality,2.0,Rural
0886,72,Bounded Locality,2.0,Rural
2000,10,Major Urban,0.0,Urban
2007,10,Major Urban,0.0,Urban
2008,10,Major Urban,0.0,Urban
2009,10,Major Urban,0.0,Urban
2010,10,Major Urban,0.0,Urban
2011,10,Major Urban,0.0,Urban
2015,10,Major Urban,0.0,Urban
2016,10,Major Urban,0.0,Urban
2017,10,Major Urban,0.0,Urban
2018,10,Major Urban,0.0,Urban
2019,10,Major Urban,0.0,Urban
2020,10,Major Urban,0.0,Urban
2021,10,Major Urban,0.0,Urban
2022,10,Major Urban,0.0,Urban
2023,10,Major Urban,0.0,Urban
2024,10,Major Urban,0.0,Urban
2025,10,Major Urban,0.0,Urban
2026,10,Major Urban,0.0,Urban
2027,10,Major Urban,0.0,Urban
2028,10,Major Urban,0.0,Urban
2029,10,Major Urban,0.0,Urban
2030,10,Major Urban,0.0,Urban
2031,10,Major Urban,0.0,Urban
2032,10,Major Urban,0.0,Urban
2033,10,Major Urban,0.0,Urban
2034,10,Major Urban,0.0,Urban
2035,10,Major Urban,0.0,Urban
2036,10,Major Urban,0.0,Urban
2037,10,Major Urban,0.0,Urban
2038,10,Major Urban,0.0,Urban
2039,10,Major Urban,0.0,Urban
2040,10,Major Urban,0.0,Urban
2041,10,Major Urban,0.0,Urban
2042,10,Major Urban,0.0,Urban
2043,10,Major Urban,0.0,Urban
2044,10,Major Urban,0.0,Urban
2045,10,Major Urban,0.0,Urban
2046,10,Major Urban,0.0,Urban
2047,10,Major Urban,0.0,Urban
2048,10,Major Urban,0.0,Urban
2049,10,Major Urban,0.0,Urban
2050,10,Major Urban,0.0,Urban
2060,10,Major Urban,0.0,Urban
2061,10,Major Urban,0.0,Urban
2062,10,Major Urban,0.0,Urban
2063,10,Major Urban,0.0,Urban
2064,10,Major Urban,0.0,Urban
2065,10,Major Urban,0.0,Urban
2066,10,Major Urban,0.0,Urban
2067,10,Major Urban,0.0,Urban
2068,10,Major Urban,0.0,Urban
2069,10,Major Urban,0.0,Urban
2070,10,Major Urban,0.0,Urban
2071,10,Major Urban,0.0,Urban
2072,10,Major Urban,0.0,Urban
2073,10,Major Urban,0.0,Urban
2074,10,Major Urban,0.0,Urban
2075,10,Major Urban,0.0,Urban
2076,10,Major Urban,0.0,Urban
2077,10,Major Urban,0.0,Urban
2079,13,Rural Balance,3.0,Rural
2080,10,Major Urban,0.0,Urban
2081,13,Rural Balance,3.0,Rural
2082,13,Rural Balance,3.0,Rural
2083,13,Rural Balance,3.0,Rural
2084,13,Rural Balance,3.0,Rural
2085,10,Major Urban,0.0,Urban
2086,10,Major Urban,0.0,Urban
2087,10,Major Urban,0.0,Urban
2088,10,Major Urban,0.0,Urban
2089,10,Major Urban,0.0,Urban
2090,10,Major Urban,0.0,Urban
2092,10,Major Urban,0.0,Urban
2093,10,Major Urban,0.0,Urban
2094,10,Major Urban,0.0,Urban
2095,10,Major Urban,0.0,Urban
2096,10,Major Urban,0.0,Urban
2097,10,Major Urban,0.0,Urban
2099,10,Major Urban,0.0,Urban
2100,10,Major Urban,0.0,Urban
2101,10,Major Urban,0.0,Urban
2102,10,Major Urban,0.0,Urban
2103,10,Major Urban,0.0,Urban
2104,10,Major Urban,0.0,Urban
2105,11,Other Urban,1.0,Urban
2106,10,Major Urban,0.0,Urban
2107,10,Major Urban,0.0,Urban
2108,10,Major Urban,0.0,Urban
2110,10,Major Urban,0.0,Urban
2111,10,Major Urban,0.0,Urban
2112,10,Major Urban,0.0,Urban
2113,10,Major Urban,0.0,Urban
2114,10,Major Urban,0.0,Urban
2115,10,Major Urban,0.0,Urban
2116,10,Major Urban,0.0,Urban
2117,10,Major Urban,0.0,Urban
2118,10,Major Urban,0.0,Urban
2119,10,Major Urban,0.0,Urban
2120,10,Major Urban,0.0,Urban
2121,10,Major Urban,0.0,Urban
2122,10,Major Urban,0.0,Urban
2125,10,Major Urban,0.0,Urban
2126,10,Major Urban,0.0,Urban
2127,10,Major Urban,0.0,Urban
2128,10,Major Urban,0.0,Urban
2130,10,Major Urban,0.0,Urban
2131,10,Major Urban,0.0,Urban
2132,10,Major Urban,0.0,Urban
2133,10,Major Urban,0.0,Urban
2134,10,Major Urban,0.0,Urban
2135,10,Major Urban,0.0,Urban
2136,10,Major Urban,0.0,Urban
2137,10,Major Urban,0.0,Urban
2138,10,Major Urban,0.0,Urban
2140,10,Major Urban,0.0,Urban
2141,10,Major Urban,0.0,Urban
2142,10,Major Urban,0.0,Urban
2143,10,Major Urban,0.0,Urban
2144,10,Major Urban,0.0,Urban
2145,10,Major Urban,0.0,Urban
2146,10,Major Urban,0.0,Urban
2147,10,Major Urban,0.0,Urban
2148,10,Major Urban,0.0,Urban
2150,10,Major Urban,0.0,Urban
2151,10,Major Urban,0.0,Urban
2152,10,Major Urban,0.0,Urban
2153,10,Major Urban,0.0,Urban
2154,10,Major Urban,0.0,Urban
2155,10,Major Urban,0.0,Urban
2156,13,Rural Balance,3.0,Rural
2157,13,Rural Balance,3.0,Rural
2158,13,Rural Balance,3.0,Rural
2159,13,Rural Balance,3.0,Rural
2160,10,Major Urban,0.0,Urban
2161,10,Major Urban,0.0,Urban
2162,10,Major Urban,0.0,Urban
2163,10,Major Urban,0.0,Urban
2164,10,Major Urban,0.0,Urban
2165,10,Major Urban,0.0,Urban
2166,10,Major Urban,0.0,Urban
2167,10,Major Urban,0.0,Urban
2168,10,Major Urban,0.0,Urban
2170,10,Major Urban,0.0,Urban
2171,10,Major Urban,0.0,Urban
2172,10,Major Urban,0.0,Urban
2173,13,Rural Balance,3.0,Rural
2174,10,Major Urban,0.0,Urban
2175,10,Major Urban,0.0,Urban
2176,10,Major Urban,0.0,Urban
2177,10,Major Urban,0.0,Urban
2178,10,Major Urban,0.0,Urban
2179,13,Rural Balance,3.0,Rural
2190,10,Major Urban,0.0,Urban
2191,10,Major Urban,0.0,Urban
2192,10,Major Urban,0.0,Urban
2193,10,Major Urban,0.0,Urban
2194,10,Major Urban,0.0,Urban
2195,10,Major Urban,0.0,Urban
2196,10,Major Urban,0.0,Urban
2197,10,Major Urban,0.0,Urban
2198,10,Major Urban,0.0,Urban
2199,10,Major Urban,0.0,Urban
2200,10,Major Urban,0.0,Urban
2203,10,Major Urban,0.0,Urban
2204,10,Major Urban,0.0,Urban
2205,10,Major Urban,0.0,Urban
2206,10,Major Urban,0.0,Urban
2207,10,Major Urban,0.0,Urban
2208,10,Major Urban,0.0,Urban
2209,10,Major Urban,0.0,Urban
2210,10,Major Urban,0.0,Urban
2211,10,Major Urban,0.0,Urban
2212,10,Major Urban,0.0,Urban
2213,10,Major Urban,0.0,Urban
2214,10,Major Urban,0.0,Urban
2216,10,Major Urban,0.0,Urban
2217,10,Major Urban,0.0,Urban
2218,10,Major Urban,0.0,Urban
2219,10,Major Urban,0.0,Urban
2220,10,Major Urban,0.0,Urban
2221,10,Major Urban,0.0,Urban
2222,10,Major Urban,0.0,Urban
2223,10,Major Urban,0.0,Urban
2224,10,Major Urban,0.0,Urban
2225,10,Major Urban,0.0,Urban
2226,10,Major Urban,0.0,Urban
2227,10,Major Urban,0.0,Urban
2228,10,Major Urban,0.0,Urban
2229,10,Major Urban,0.0,Urban
2230,10,Major Urban,0.0,Urban
2231,10,Major Urban,0.0,Urban
2232,13,Rural Balance,3.0,Rural
2233,13,Rural Balance,3.0,Rural
2234,10,Major Urban,0.0,Urban
2250,13,Rural Balance,3.0,Rural
2251,10,Major Urban,0.0,Urban
2256,13,Rural Balance,3.0,Rural
2257,11,Other Urban,1.0,Urban
2258,13,Rural Balance,3.0,Rural
2259,13,Rural Balance,3.0,Rural
2260,10,Major Urban,0.0,Urban
2261,11,Other Urban,1.0,Urban
2262,10,Major Urban,0.0,Urban
2263,11,Other Urban,1.0,Urban
2264,11,Other Urban,1.0,Urban
2265,13,Rural Balance,3.0,Rural
2267,13,Rural Balance,3.0,Rural
2278,13,Rural Balance,3.0,Rural
2280,10,Major Urban,0.0,Urban
2281,13,Rural Balance,3.0,Rural
2282,10,Major Urban,0.0,Urban
2283,10,Major Urban,0.0,Urban
2284,10,Major Urban,0.0,Urban
2285,10,Major Urban,0.0,Urban
2286,13,Rural Balance,3.0,Rural
2287,13,Rural Balance,3.0,Rural
2289,10,Major Urban,0.0,Urban
2290,10,Major Urban,0.0,Urban
2291,10,Major Urban,0.0,Urban
2292,10,Major Urban,0.0,Urban
2293,10,Major Urban,0.0,Urban
2294,10,Major Urban,0.0,Urban
2295,13,Rural Balance,3.0,Rural
2296,10,Major Urban,0.0,Urban
2297,10,Major Urban,0.0,Urban
2298,10,Major Urban,0.0,Urban
2299,10,Major Urban,0.0,Urban
2300,10,Major Urban,0.0,Urban
2302,10,Major Urban,0.0,Urban
2303,10,Major Urban,0.0,Urban
2304,10,Major Urban,0.0,Urban
2305,10,Major Urban,0.0,Urban
2306,10,Major Urban,0.0,Urban
2307,10,Major Urban,0.0,Urban
2308,10,Major Urban,0.0,Urban
2311,13,Rural Balance,3.0,Rural
2312,13,Rural Balance,3.0,Rural
2315,13,Rural Balance,3.0,Rural
2316,13,Rural Balance,3.0,Rural
2317,13,Rural Balance,3.0,Rural
2318,13,Rural Balance,3.0,Rural
2319,11,Other Urban,1.0,Urban
2320,13,Rural Balance,3.0,Rural
2321,13,Rural Balance,3.0,Rural
2322,13,Rural Balance,3.0,Rural
2323,13,Rural Balance,3.0,Rural
2324,13,Rural Balance,3.0,Rural
2325,13,Rural Balance,3.0,Rural
2326,13,Rural Balance,3.0,Rural
2327,11,Other Urban,1.0,Urban
2328,13,Rural Balance,3.0,Rural
2329,13,Rural Balance,3.0,Rural
2330,13,Rural Balance,3.0,Rural
2331,13,Rural Balance,3.0,Rural
2333,13,Rural Balance,3.0,Rural
2334,11,Other Urban,1.0,Urban
2335,13,Rural Balance,3.0,Rural
2336,13,Rural Balance,3.0,Rural
2337,13,Rural Balance,3.0,Rural
2338,13,Rural Balance,3.0,Rural
2339,13,Rural Balance,3.0,Rural
2340,13,Rural Balance,3.0,Rural
2341,13,Rural Balance,3.0,Rural
2342,13,Rural Balance,3.0,Rural
2343,13,Rural Balance,3.0,Rural
2344,13,Rural Balance,3.0,Rural
2345,13,Rural Balance,3.0,Rural
2346,13,Rural Balance,3.0,Rural
2347,13,Rural Balance,3.0,Rural
2350,13,Rural Balance,3.0,Rural
2352,13,Rural Balance,3.0,Rural
2353,13,Rural Balance,3.0,Rural
2354,13,Rural Balance,3.0,Rural
2355,13,Rural Balance,3.0,Rural
2356,13,Rural Balance,3.0,Rural
2357,13,Rural Balance,3.0,Rural
2358,13,Rural Balance,3.0,Rural
2359,13,Rural Balance,3.0,Rural
2360,13,Rural Balance,3.0,Rural
2361,13,Rural Balance,3.0,Rural
2365,13,Rural Balance,3.0,Rural
2369,13,Rural Balance,3.0,Rural
2370,13,Rural Balance,3.0,Rural
2371,13,Rural Balance,3.0,Rural
2372,13,Rural Balance,3.0,Rural
2379,13,Rural Balance,3.0,Rural
2380,13,Rural Balance,3.0,Rural
2381,13,Rural Balance,3.0,Rural
2382,13,Rural Balance,3.0,Rural
2386,13,Rural Balance,3.0,Rural
2387,13,Rural Balance,3.0,Rural
2388,13,Rural Balance,3.0,Rural
2390,13,Rural Balance,3.0,Rural
2395,13,Rural Balance,3.0,Rural
2396,13,Rural Balance,3.0,Rural
2397,13,Rural Balance,3.0,Rural
2398,13,Rural Balance,3.0,Rural
2399,13,Rural Balance,3.0,Rural
2400,13,Rural Balance,3.0,Rural
2401,13,Rural Balance,3.0,Rural
2402,13,Rural Balance,3.0,Rural
2403,13,Rural Balance,3.0,Rural
2404,13,Rural Balance,3.0,Rural
2405,13,Rural Balance,3.0,Rural
2406,13,Rural Balance,3.0,Rural
2408,13,Rural Balance,3.0,Rural
2409,13,Rural Balance,3.0,Rural
2410,13,Rural Balance,3.0,Rural
2411,13,Rural Balance,3.0,Rural
2415,13,Rural Balance,3.0,Rural
2420,13,Rural Balance,3.0,Rural
2421,13,Rural Balance,3.0,Rural
2422,13,Rural Balance,3.0,Rural
2423,13,Rural Balance,3.0,Rural
2424,13,Rural Balance,3.0,Rural
2425,13,Rural Balance,3.0,Rural
2426,13,Rural Balance,3.0,Rural
2427,13,Rural Balance,3.0,Rural
2428,13,Rural Balance,3.0,Rural
2429,13,Rural Balance,3.0,Rural
2430,11,Other Urban,1.0,Urban
2431,13,Rural Balance,3.0,Rural
2439,13,Rural Balance,3.0,Rural
2440,13,Rural Balance,3.0,Rural
2441,13,Rural Balance,3.0,Rural
2443,13,Rural Balance,3.0,Rural
2444,13,Rural Balance,3.0,Rural
2445,13,Rural Balance,3.0,Rural
2446,13,Rural Balance,3.0,Rural
2447,13,Rural Balance,3.0,Rural
2448,13,Rural Balance,3.0,Rural
2449,13,Rural Balance,3.0,Rural
2450,13,Rural Balance,3.0,Rural
2452,11,Other Urban,1.0,Urban
2453,13,Rural Balance,3.0,Rural
2454,13,Rural Balance,3.0,Rural
2455,13,Rural Balance,3.0,Rural
2456,13,Rural Balance,3.0,Rural
2460,13,Rural Balance,3.0,Rural
2462,13,Rural Balance,3.0,Rural
2463,12,Bounded Locality,2.0,Rural
2464,13,Rural Balance,3.0,Rural
2465,13,Rural Balance,3.0,Rural
2466,11,Other Urban,1.0,Urban
2469,13,Rural Balance,3.0,Rural
2470,13,Rural Balance,3.0,Rural
2471,13,Rural Balance,3.0,Rural
2472,13,Rural Balance,3.0,Rural
2473,11,Other Urban,1.0,Urban
2474,13,Rural Balance,3.0,Rural
2475,13,Rural Balance,3.0,Rural
2476,13,Rural Balance,3.0,Rural
2477,13,Rural Balance,3.0,Rural
2478,13,Rural Balance,3.0,Rural
2479,13,Rural Balance,3.0,Rural
2480,13,Rural Balance,3.0,Rural
2481,12,Bounded Locality,2.0,Rural
2482,13,Rural Balance,3.0,Rural
2483,13,Rural Balance,3.0,Rural
2484,13,Rural Balance,3.0,Rural
2485,10,Major Urban,0.0,Urban
2486,10,Major Urban,0.0,Urban
2487,13,Rural Balance,3.0,Rural
2488,13,Rural Balance,3.0,Rural
2489,11,Other Urban,1.0,Urban
2490,13,Rural Balance,3.0,Rural
2500,10,Major Urban,0.0,Urban
2502,10,Major Urban,0.0,Urban
2505,10,Major Urban,0.0,Urban
2506,10,Major Urban,0.0,Urban
2508,13,Rural Balance,3.0,Rural
2515,13,Rural Balance,3.0,Rural
2516,13,Rural Balance,3.0,Rural
2517,10,Major Urban,0.0,Urban
2518,10,Major Urban,0.0,Urban
2519,10,Major Urban,0.0,Urban
2525,10,Major Urban,0.0,Urban
2526,13,Rural Balance,3.0,Rural
2527,13,Rural Balance,3.0,Rural
2528,10,Major Urban,0.0,Urban
